spec,target_reached,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ibias_ma,output_pm_deg,output_ugbw_mhz,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass
19,Yes,(255.0)293.25,(2.2)2.57,(75.0)75.0,(6.5)7.44,325.75383,50.25779061128952,5.76131588916316,77.368,2.817863540728903,0.4650633333333332,Yes,Yes,Yes,Yes,Yes
20,Yes,(259.0)297.85,(23.6)27.12,(75.0)75.0,(3.2)3.65,326.52104099999997,50.278223448562535,2.868892854054492,77.044,29.279119547722804,0.4161933333333331,Yes,Yes,Yes,Yes,Yes
21,Yes,(329.0)378.35,(12.5)14.34,(75.0)75.0,(4.4)5.10,409.25362799999994,52.23985076172339,4.071272312574501,80.72,15.219241743088723,0.4206566666666664,Yes,Yes,Yes,Yes,Yes
22,Yes,(354.0)407.10,(20.7)23.84,(75.0)75.0,(9.5)10.97,434.4164099999999,52.75812444569684,8.897586542345515,80.396,30.130440785484403,0.5917866666666666,Yes,Yes,Yes,Yes,Yes
23,Yes,(206.0)236.90,(10.6)12.21,(75.0)75.0,(2.5)2.83,249.34198800000001,47.93590835557594,2.3313506965285917,80.072,15.213312846575436,0.5429166666666672,Yes,Yes,Yes,Yes,Yes
24,Yes,(343.0)394.45,(2.8)3.19,(75.0)75.0,(2.5)2.90,480.416433,53.63235708698875,2.421325027537743,79.748,3.9236911136201598,0.674046666666667,Yes,Yes,Yes,Yes,Yes
25,Yes,(250.0)287.50,(16.1)18.52,(75.0)75.0,(9.3)10.64,345.966,50.780668407189054,9.019531312666208,79.424,22.419507455943446,0.6251766666666667,Yes,Yes,Yes,Yes,Yes
26,Yes,(383.0)440.45,(2.3)2.63,(75.0)75.0,(1.2)1.44,523.5981509999999,54.379962084850334,1.2341055663897993,79.1,3.1359682388171715,0.5763066666666664,Yes,Yes,Yes,Yes,Yes
27,Yes,(366.0)420.90,(4.6)5.27,(75.0)75.0,(6.2)7.09,494.22078000000005,53.87842003579334,6.1779282320558195,78.776,6.188358022614454,0.5274366666666671,Yes,Yes,Yes,Yes,Yes
28,Yes,(379.0)435.85,(14.5)16.68,(75.0)75.0,(0.6)0.74,505.420377,54.073054947176956,0.6554867382550257,78.452,19.302484671790438,0.4785666666666666,Yes,Yes,Yes,Yes,Yes
29,Yes,(339.0)389.85,(8.3)9.54,(75.0)75.0,(6.7)7.70,446.393844,52.994363936544524,6.89884588816147,78.128,10.86229827048969,0.4296966666666666,Yes,Yes,Yes,Yes,Yes
30,Yes,(307.0)353.05,(24.9)28.58,(75.0)75.0,(6.6)7.61,399.10890299999994,52.02182831567277,6.909370999412275,77.804,32.04858214865743,0.3808266666666667,Yes,Yes,Yes,Yes,Yes
31,Yes,(256.0)294.40,(3.8)4.42,(75.0)75.0,(1.8)2.11,328.515072,50.331105988495814,1.629292659865227,77.48,4.87648007912492,0.4819566666666666,Yes,Yes,Yes,Yes,Yes
32,Yes,(314.0)361.10,(19.3)22.25,(75.0)75.0,(0.2)0.26,397.67942999999997,51.990662553009514,0.20284264276295344,77.156,24.15401254275645,0.4330866666666666,Yes,Yes,Yes,Yes,Yes
33,Yes,(350.0)402.50,(15.6)17.88,(75.0)75.0,(1.5)1.68,437.40479999999997,52.81767089191416,1.3329199800519664,80.832,19.097284956067192,0.4375499999999999,Yes,Yes,Yes,Yes,Yes
34,Yes,(271.0)311.65,(20.0)22.97,(75.0)75.0,(0.2)0.24,334.132431,50.47837260888908,0.19706645698296743,80.508,24.123169248862297,0.3886799999999999,Yes,Yes,Yes,Yes,Yes
35,Yes,(201.0)231.15,(6.4)7.38,(75.0)75.0,(5.0)5.77,244.454994,47.76397827887689,4.7231838859773845,80.184,9.239792372406624,0.55981,Yes,Yes,Yes,Yes,Yes
36,Yes,(394.0)453.10,(13.5)15.57,(75.0)75.0,(3.5)4.06,554.1322379999999,54.87226834079904,3.3765321247120395,79.86,19.22269071118806,0.6909399999999998,Yes,Yes,Yes,Yes,Yes
37,Yes,(240.0)276.00,(11.8)13.58,(75.0)75.0,(5.2)6.00,333.51840000000004,50.46239597332921,5.063120931366349,79.536,16.525721732395116,0.64207,Yes,Yes,Yes,Yes,Yes
38,Yes,(378.0)434.70,(11.6)13.37,(75.0)75.0,(8.2)9.48,518.953554,54.30256981037432,8.109490458125046,79.212,16.02580720549016,0.5932000000000004,Yes,Yes,Yes,Yes,Yes
39,Yes,(308.0)354.20,(21.6)24.89,(75.0)75.0,(2.7)3.07,417.686808,52.4170151790741,2.660671853925997,78.888,29.39330951260615,0.54433,Yes,Yes,Yes,Yes,Yes
40,Yes,(287.0)330.05,(24.8)28.47,(75.0)75.0,(3.8)4.35,384.39603299999993,51.69557794126732,3.8260157075231453,78.564,33.118543412494766,0.49546000000000007,Yes,Yes,Yes,Yes,Yes
41,Yes,(271.0)311.65,(8.3)9.58,(75.0)75.0,(7.5)8.65,358.42243199999996,51.087903646417566,7.716441526347122,78.24,10.96986688961366,0.44658999999999993,Yes,Yes,Yes,Yes,Yes
42,Yes,(239.0)274.85,(15.9)18.29,(75.0)75.0,(8.7)10.06,312.09217499999994,49.88565759715007,9.094651773145621,77.916,20.621276783200493,0.39772,Yes,Yes,Yes,Yes,Yes
43,Yes,(255.0)293.25,(15.6)17.98,(75.0)75.0,(7.4)8.46,328.70979000000005,50.336252778295844,7.750993520304401,77.592,19.946321818534184,0.34885000000000016,Yes,Yes,Yes,Yes,Yes
44,Yes,(395.0)454.25,(18.8)21.58,(75.0)75.0,(1.3)1.46,502.554945,54.023671013624124,1.1357445719068051,77.268,23.557184302893525,0.44998000000000016,Yes,Yes,Yes,Yes,Yes
45,Yes,(286.0)328.90,(23.7)27.30,(75.0)75.0,(9.0)10.36,359.079864,51.10382104048432,8.19036062203514,80.944,29.32340168433441,0.45444333333333353,Yes,Yes,Yes,Yes,Yes
46,Yes,(226.0)259.90,(6.0)6.88,(75.0)75.0,(3.4)3.93,279.95908199999997,48.94189121540249,3.1538889991313463,80.62,7.271604779363013,0.40557333333333323,Yes,Yes,Yes,Yes,Yes
47,Yes,(223.0)256.45,(6.1)6.97,(75.0)75.0,(4.4)5.00,272.50377,48.707450299509816,4.076580651885065,80.296,8.776034861592235,0.5767033333333333,Yes,Yes,Yes,Yes,Yes
48,Yes,(297.0)341.55,(16.9)19.38,(75.0)75.0,(5.3)6.08,419.430231,52.453194592368106,5.0273993232027445,79.972,24.038569031885245,0.7078333333333334,Yes,Yes,Yes,Yes,Yes
49,Yes,(224.0)257.60,(4.8)5.48,(75.0)75.0,(2.7)3.11,312.58214399999997,49.89928331347418,2.6086503112054817,79.648,6.706235342919637,0.6589633333333331,Yes,Yes,Yes,Yes,Yes
50,Yes,(291.0)334.65,(5.2)5.95,(75.0)75.0,(9.8)11.22,401.19849899999997,52.067185990594886,9.548139036800787,79.324,7.1657273197685,0.6100933333333332,Yes,Yes,Yes,Yes,Yes
51,Yes,(288.0)331.20,(2.8)3.22,(75.0)75.0,(6.3)7.26,392.23353599999996,51.87089446267275,6.2681818616884755,79.0,3.824458490467843,0.5612233333333333,Yes,Yes,Yes,Yes,Yes
52,Yes,(354.0)407.10,(1.1)1.22,(75.0)75.0,(5.0)5.76,476.18486999999993,53.55551184574095,5.046643247329136,78.676,1.430974308335068,0.5123533333333332,Yes,Yes,Yes,Yes,Yes
53,Yes,(267.0)307.05,(11.8)13.58,(75.0)75.0,(5.2)5.93,354.679596,50.99672410214303,5.264580944246728,78.352,15.640776725757252,0.4634833333333336,Yes,Yes,Yes,Yes,Yes
54,Yes,(211.0)242.65,(15.3)17.54,(75.0)75.0,(0.6)0.75,276.752031,48.84181633438332,0.6714822318191788,78.028,19.88242463373602,0.4146133333333337,Yes,Yes,Yes,Yes,Yes
55,Yes,(386.0)443.90,(8.0)9.19,(75.0)75.0,(8.6)9.90,499.813644,53.97616214797479,9.028210687374232,77.704,10.252630590615103,0.3657433333333335,Yes,Yes,Yes,Yes,Yes
56,Yes,(317.0)364.55,(6.6)7.54,(75.0)75.0,(1.8)2.01,405.153579,52.15239359363398,1.559970152196804,77.38,8.277239443210501,0.46687333333333336,Yes,Yes,Yes,Yes,Yes
57,Yes,(337.0)387.55,(18.0)20.66,(75.0)75.0,(1.7)1.91,425.06483999999995,52.569103660128135,1.4987627609285405,77.056,22.317832054360878,0.4180033333333333,Yes,Yes,Yes,Yes,Yes
58,Yes,(231.0)265.65,(17.9)20.55,(75.0)75.0,(7.8)8.92,287.491743,49.17250751818028,7.122101081074462,80.732,21.83328569890965,0.422466666666667,Yes,Yes,Yes,Yes,Yes
59,Yes,(296.0)340.40,(11.9)13.68,(75.0)75.0,(9.0)10.30,363.424656,51.20828776056881,8.346651790183536,80.408,17.299959097871092,0.593596666666667,Yes,Yes,Yes,Yes,Yes
60,Yes,(220.0)253.00,(17.5)20.12,(75.0)75.0,(6.8)7.79,266.42418,48.51147275561277,6.409497724060974,80.084,25.085475287461904,0.5447266666666667,Yes,Yes,Yes,Yes,Yes
61,Yes,(341.0)392.15,(23.2)26.65,(75.0)75.0,(1.2)1.43,477.826932,53.58541248924641,1.1923696150033576,79.76,32.74905120098997,0.6758566666666669,Yes,Yes,Yes,Yes,Yes
62,Yes,(275.0)316.25,(19.9)22.89,(75.0)75.0,(7.4)8.55,380.73337499999997,51.612418972747506,7.241671430050869,79.436,27.72561459357111,0.6269866666666667,Yes,Yes,Yes,Yes,Yes
63,Yes,(360.0)414.00,(16.0)18.40,(75.0)75.0,(0.1)0.14,492.3784799999999,53.84598126611624,0.12394031758403137,79.112,21.957158342514408,0.5781166666666667,Yes,Yes,Yes,Yes,Yes
64,Yes,(358.0)411.70,(16.9)19.40,(75.0)75.0,(8.6)9.89,483.640458,53.690452475338276,8.619169345019529,78.788,22.801175540527822,0.5292466666666666,Yes,Yes,Yes,Yes,Yes
65,Yes,(292.0)335.80,(23.4)26.92,(75.0)75.0,(0.2)0.25,389.581728,51.81197159170536,0.22521664012105608,78.464,31.16118478191506,0.4803766666666667,Yes,Yes,Yes,Yes,Yes
66,Yes,(347.0)399.05,(11.2)12.88,(75.0)75.0,(0.6)0.64,457.14369899999997,53.20105476170689,0.5719041972286724,78.14,14.684480308991443,0.4315066666666668,Yes,Yes,Yes,Yes,Yes
67,Yes,(249.0)286.35,(14.1)16.18,(75.0)75.0,(3.7)4.26,323.86184999999995,50.20719584749607,3.8664173180822976,77.816,18.152901298707082,0.38263666666666646,Yes,Yes,Yes,Yes,Yes
68,Yes,(380.0)437.00,(16.5)19.02,(75.0)75.0,(9.2)10.59,487.87553999999994,53.766180899678616,9.74443688036216,77.492,21.005572042166854,0.3337666666666665,Yes,Yes,Yes,Yes,Yes
69,Yes,(217.0)249.55,(22.8)26.22,(75.0)75.0,(1.9)2.15,274.964172,48.78552217359535,1.6835545911405325,77.168,28.485127940990928,0.4348966666666668,Yes,Yes,Yes,Yes,Yes
70,Yes,(211.0)242.65,(20.8)23.97,(75.0)75.0,(9.6)11.05,263.823639,48.426274128020914,8.775819836898112,80.844,25.60614457637592,0.43936000000000014,Yes,Yes,Yes,Yes,Yes
71,Yes,(369.0)424.35,(2.7)3.12,(75.0)75.0,(0.5)0.52,455.191758,53.16388779675938,0.4174300439315552,80.52,3.279016873669659,0.3904900000000001,Yes,Yes,Yes,Yes,Yes
72,Yes,(258.0)296.70,(5.0)5.73,(75.0)75.0,(8.1)9.26,313.93827,49.93688521407988,7.57898338918314,80.196,7.178107920025278,0.5616199999999999,Yes,Yes,Yes,Yes,Yes
73,Yes,(397.0)456.55,(8.4)9.64,(75.0)75.0,(7.2)8.24,558.5980559999999,54.94198839923163,6.84880836124362,79.872,11.905699046489293,0.69275,Yes,Yes,Yes,Yes,Yes
74,Yes,(274.0)315.10,(19.0)21.82,(75.0)75.0,(6.6)7.58,380.93699399999997,51.61706300847826,6.389335413690876,79.548,26.560804964766813,0.6438800000000002,Yes,Yes,Yes,Yes,Yes
75,Yes,(220.0)253.00,(14.7)16.86,(75.0)75.0,(2.3)2.67,302.17307999999997,49.605115425856916,2.28392991022259,79.224,20.22168420242039,0.5950099999999999,Yes,Yes,Yes,Yes,Yes
76,Yes,(259.0)297.85,(7.9)9.12,(75.0)75.0,(2.6)2.94,351.397473,50.915972680686835,2.550848284235264,78.9,10.77069005743475,0.5461400000000001,Yes,Yes,Yes,Yes,Yes
77,Yes,(225.0)258.75,(4.0)4.58,(75.0)75.0,(9.2)10.54,301.4955,49.585616688412074,9.270113414164902,78.576,5.332444002132885,0.4972699999999998,Yes,Yes,Yes,Yes,Yes
78,Yes,(297.0)341.55,(17.5)20.16,(75.0)75.0,(3.3)3.76,392.99426099999994,51.88772416607188,3.3497769639534267,78.252,23.098896789837447,0.4483999999999999,Yes,Yes,Yes,Yes,Yes
79,Yes,(271.0)311.65,(17.8)20.46,(75.0)75.0,(8.3)9.52,354.04686599999997,50.98121508786039,8.601822476578462,77.928,23.08391513258255,0.39953000000000005,Yes,Yes,Yes,Yes,Yes
80,Yes,(316.0)363.40,(23.6)27.17,(75.0)75.0,(5.8)6.62,407.538564,52.203374216855636,6.064369844523301,77.604,30.163936313422905,0.35066000000000025,Yes,Yes,Yes,Yes,Yes
81,Yes,(362.0)416.30,(13.0)14.96,(75.0)75.0,(1.3)1.47,460.79414399999996,53.2701390244209,1.1469935976433132,77.28,16.34651403535327,0.4517899999999999,Yes,Yes,Yes,Yes,Yes
82,Yes,(293.0)336.95,(12.9)14.78,(75.0)75.0,(6.8)7.78,368.050485,51.318147887226544,6.147620576353007,80.956,15.881833808669235,0.4562533333333332,Yes,Yes,Yes,Yes,Yes
83,Yes,(241.0)277.15,(2.9)3.37,(75.0)75.0,(0.6)0.71,298.690098,49.504416507305805,0.5733459468241215,80.632,3.5616895987084516,0.4073833333333334,Yes,Yes,Yes,Yes,Yes
84,Yes,(294.0)338.10,(2.0)2.25,(75.0)75.0,(2.3)2.66,359.44763399999994,51.11271258581846,2.1630153867710304,80.30799999999999,2.8329484731258603,0.5785133333333334,Yes,Yes,Yes,Yes,Yes
85,Yes,(290.0)333.50,(11.4)13.07,(75.0)75.0,(5.2)5.99,409.72476000000006,52.249844190288385,4.948627981344695,79.984,16.227176311772666,0.7096433333333335,Yes,Yes,Yes,Yes,Yes
86,Yes,(253.0)290.95,(8.7)10.05,(75.0)75.0,(0.6)0.64,353.20748100000003,50.960597868813466,0.5350042793823081,79.66,12.28996716919499,0.6607733333333334,Yes,Yes,Yes,Yes,Yes
87,Yes,(371.0)426.65,(7.0)8.06,(75.0)75.0,(4.1)4.68,511.72400999999996,54.18071588940836,3.981577576027787,79.336,9.716838181635975,0.6119033333333335,Yes,Yes,Yes,Yes,Yes
88,Yes,(268.0)308.20,(3.2)3.67,(75.0)75.0,(8.8)10.10,365.161524,51.24970021871334,8.715907547933115,79.012,4.3596712461861635,0.5630333333333335,Yes,Yes,Yes,Yes,Yes
89,Yes,(379.0)435.85,(24.1)27.70,(75.0)75.0,(8.7)9.97,510.04910399999994,54.15223977959268,8.729426037544387,78.688,32.40476343736903,0.5141633333333334,Yes,Yes,Yes,Yes,Yes
90,Yes,(374.0)430.10,(21.1)24.22,(75.0)75.0,(7.8)8.92,497.049366,53.92799048358813,7.916144867259039,78.364,27.90620911748932,0.4652933333333336,Yes,Yes,Yes,Yes,Yes
91,Yes,(365.0)419.75,(14.8)17.03,(75.0)75.0,(3.2)3.65,478.96833,53.60613596512002,3.2850559799901595,78.04,19.311338428816832,0.4164233333333335,Yes,Yes,Yes,Yes,Yes
92,Yes,(218.0)250.70,(23.8)27.39,(75.0)75.0,(1.0)1.10,282.41355,49.017710600361326,1.0013918460185494,77.716,30.581190963037823,0.3675533333333334,Yes,Yes,Yes,Yes,Yes
93,Yes,(355.0)408.25,(25.0)28.74,(75.0)75.0,(4.6)5.32,453.94133999999997,53.13999470646934,4.1125239711585575,77.392,31.572359862185397,0.46868333333333334,Yes,Yes,Yes,Yes,Yes
94,Yes,(362.0)416.30,(17.1)19.70,(75.0)75.0,(3.8)4.32,456.8226419999999,53.194952423668525,3.3912739518156982,77.068,21.29713344229237,0.41981333333333304,Yes,Yes,Yes,Yes,Yes
95,Yes,(243.0)279.45,(7.5)8.59,(75.0)75.0,(3.0)3.43,302.57728199999997,49.61672634734417,2.741150205986263,80.744,9.129408318555868,0.42427666666666675,Yes,Yes,Yes,Yes,Yes
96,Yes,(336.0)386.40,(2.0)2.26,(75.0)75.0,(7.9)9.05,412.744752,52.313631199354134,7.329567204675033,80.42,2.859760299239736,0.5954066666666669,Yes,Yes,Yes,Yes,Yes
97,Yes,(386.0)443.90,(19.2)22.02,(75.0)75.0,(7.4)8.54,467.69304,53.39921813958188,7.018816959978228,80.096,27.470193416779647,0.5465366666666667,Yes,Yes,Yes,Yes,Yes
98,Yes,(262.0)301.30,(12.3)14.14,(75.0)75.0,(2.5)2.88,367.29072599999995,51.30019925310934,2.4007052607338615,79.772,17.380276752840018,0.6776666666666668,Yes,Yes,Yes,Yes,Yes
99,Yes,(241.0)277.15,(16.6)19.13,(75.0)75.0,(3.7)4.31,333.810546,50.47000106251805,3.647194849530342,79.448,23.181834734371616,0.6287966666666666,Yes,Yes,Yes,Yes,Yes
100,Yes,(318.0)365.70,(23.0)26.43,(75.0)75.0,(9.7)11.18,435.13180200000005,52.77241650512764,9.601040848033005,79.124,31.55855704938025,0.5799266666666668,Yes,Yes,Yes,Yes,Yes
101,Yes,(297.0)341.55,(5.4)6.16,(75.0)75.0,(10.0)11.47,401.416884,52.07191270801296,9.993982563240902,78.8,7.243471690937134,0.531056666666667,Yes,Yes,Yes,Yes,Yes
102,Yes,(269.0)309.35,(15.0)17.31,(75.0)75.0,(7.8)8.95,359.062545,51.10340209593854,7.902386446511018,78.476,20.04345631101829,0.48218666666666693,Yes,Yes,Yes,Yes,Yes
103,Yes,(363.0)417.45,(16.2)18.67,(75.0)75.0,(7.4)8.45,478.447794,53.59669113004611,7.568528628227205,78.152,21.291707837371302,0.4333166666666668,Yes,Yes,Yes,Yes,Yes
104,Yes,(376.0)432.40,(12.8)14.72,(75.0)75.0,(5.5)6.34,489.277896,53.791111923534544,5.7507173490314925,77.828,16.526504240893832,0.38444666666666677,Yes,Yes,Yes,Yes,Yes
105,Yes,(342.0)393.30,(3.2)3.67,(75.0)75.0,(8.0)9.18,439.30036799999993,52.855231341441275,8.438856343569668,77.504,4.052653883258126,0.3355766666666667,Yes,Yes,Yes,Yes,Yes
106,Yes,(256.0)294.40,(9.4)10.75,(75.0)75.0,(1.6)1.83,324.54067200000003,50.225382621698714,1.4298842327764736,77.18,11.688869093100918,0.43670666666666685,Yes,Yes,Yes,Yes,Yes
107,Yes,(375.0)431.25,(9.0)10.35,(75.0)75.0,(9.3)10.73,469.11375,53.42556325120966,8.518285099020872,80.856,11.064863073685466,0.44117000000000006,Yes,Yes,Yes,Yes,Yes
108,Yes,(283.0)325.45,(17.1)19.65,(75.0)75.0,(0.3)0.39,349.279449,50.863460665031,0.31209792101516876,80.532,20.65390140994283,0.3923,Yes,Yes,Yes,Yes,Yes
109,Yes,(396.0)455.40,(21.6)24.82,(75.0)75.0,(5.5)6.28,482.104656,53.66282651538275,5.138384612773699,80.208,31.116173773731237,0.5634300000000001,Yes,Yes,Yes,Yes,Yes
110,Yes,(398.0)457.70,(8.9)10.25,(75.0)75.0,(6.4)7.36,560.2522620000001,54.967672373205254,6.107020768922821,79.884,12.668909431910667,0.6945600000000005,Yes,Yes,Yes,Yes,Yes
111,Yes,(214.0)246.10,(17.6)20.30,(75.0)75.0,(7.0)8.01,297.653028,49.474206099052424,6.748067700502168,79.56,24.716947808489984,0.6456900000000002,Yes,Yes,Yes,Yes,Yes
112,Yes,(258.0)296.70,(7.9)9.10,(75.0)75.0,(0.2)0.22,354.52683,50.992982148916646,0.19163296288967732,79.236,10.926137574817494,0.5968200000000001,Yes,Yes,Yes,Yes,Yes
113,Yes,(208.0)239.20,(23.7)27.24,(75.0)75.0,(3.4)3.93,282.332544,49.015218828613556,3.4056104698397203,78.912,32.200530095050766,0.5479500000000002,Yes,Yes,Yes,Yes,Yes
114,Yes,(280.0)322.00,(20.5)23.60,(75.0)75.0,(7.6)8.76,375.36828,51.48915140710222,7.695128450966932,78.588,27.484989627429513,0.49908,Yes,Yes,Yes,Yes,Yes
115,Yes,(302.0)347.30,(14.2)16.33,(75.0)75.0,(3.8)4.40,399.79786799999994,52.036809476567214,3.9196299943341444,78.264,18.726708649650323,0.45020999999999983,Yes,Yes,Yes,Yes,Yes
116,Yes,(268.0)308.20,(11.9)13.70,(75.0)75.0,(7.4)8.52,350.293956,50.88865288061058,7.693521805137179,77.94,15.467618475574751,0.40133999999999986,Yes,Yes,Yes,Yes,Yes
117,Yes,(216.0)248.40,(8.5)9.83,(75.0)75.0,(3.1)3.62,278.7048,48.902888968493706,3.309913479498229,77.616,10.92128846019089,0.35247,Yes,Yes,Yes,Yes,Yes
118,Yes,(254.0)292.10,(8.8)10.07,(75.0)75.0,(2.1)2.45,323.477382,50.19687839153189,1.9057597448774182,77.292,11.010294338610823,0.4536000000000001,Yes,Yes,Yes,Yes,Yes
119,Yes,(345.0)396.75,(24.3)27.93,(75.0)75.0,(9.8)11.31,433.58426999999995,52.741470361007075,8.92918272951148,80.968,30.030008973948465,0.4580633333333336,Yes,Yes,Yes,Yes,Yes
120,Yes,(383.0)440.45,(10.7)12.31,(75.0)75.0,(4.3)4.89,474.91961699999996,53.532402177864626,3.9244929750120807,80.644,13.012536284049295,0.4091933333333331,Yes,Yes,Yes,Yes,Yes
121,Yes,(280.0)322.00,(13.4)15.35,(75.0)75.0,(9.6)11.06,342.50496,50.69333730255621,9.000733916824586,80.32,19.339379299765103,0.5803233333333333,Yes,Yes,Yes,Yes,Yes
122,Yes,(254.0)292.10,(24.7)28.42,(75.0)75.0,(9.7)11.19,359.02011,51.10237551292709,9.242065539319865,79.996,35.29568865289423,0.7114533333333333,Yes,Yes,Yes,Yes,Yes
123,Yes,(367.0)422.05,(16.8)19.30,(75.0)75.0,(1.5)1.74,512.588166,54.195371510229236,1.4551367246833424,79.672,23.62533226886099,0.6625833333333333,Yes,Yes,Yes,Yes,Yes
124,Yes,(327.0)376.05,(14.0)16.13,(75.0)75.0,(2.9)3.30,451.23743699999994,53.08810247589082,2.807009426800919,79.348,19.450678460976697,0.6137133333333332,Yes,Yes,Yes,Yes,Yes
125,Yes,(301.0)346.15,(10.9)12.56,(75.0)75.0,(0.5)0.61,410.31236399999995,52.26229207641218,0.5302996430650329,79.024,14.920863089947334,0.5648433333333334,Yes,Yes,Yes,Yes,Yes
126,Yes,(364.0)418.60,(5.5)6.33,(75.0)75.0,(2.4)2.75,490.08850800000005,53.805490378728365,2.4057007476556582,78.7,7.4064587024718636,0.5159733333333335,Yes,Yes,Yes,Yes,Yes
127,Yes,(317.0)364.55,(9.7)11.14,(75.0)75.0,(8.5)9.74,421.49271,52.4958013522092,8.638864136064077,78.376,12.835887061730661,0.46710333333333376,Yes,Yes,Yes,Yes,Yes
128,Yes,(236.0)271.40,(19.2)22.03,(75.0)75.0,(4.2)4.82,309.835668,49.822628237729404,4.3310688853651556,78.052,24.999826017460745,0.4182333333333336,Yes,Yes,Yes,Yes,Yes
129,Yes,(267.0)307.05,(16.0)18.41,(75.0)75.0,(9.0)10.31,346.05763199999996,50.782968633387014,9.39500874020376,77.728,20.567242321465223,0.3693633333333332,Yes,Yes,Yes,Yes,Yes
