spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,scalarized_value,preference,evaluation_method,target_reached
5,4.0,270.0,5.30659704844968,75.0,7.694389006590671,417.391178,52.410865,7.584374,86.752,6.644746,1.2682382218427446,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
5,5.0,270.0,5.30659704844968,75.0,7.694389006590671,399.263411,52.02519,7.156833,85.0536,6.306607,1.1418313618492195,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
5,6.0,270.0,5.30659704844968,75.0,7.694389006590671,381.135645,51.621591,8.743145,83.3552,7.561208,1.1879242045020868,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
5,7.0,270.0,5.30659704844968,75.0,7.694389006590671,363.007879,51.198321,8.315604,81.6568,7.223069,1.0615173482122655,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
5,8.0,270.0,5.30659704844968,75.0,7.694389006590671,430.267612,52.674773,7.888063,87.9584,6.884931,1.358027024920572,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
5,9.0,270.0,5.30659704844968,75.0,7.694389006590671,412.139846,52.300892,7.460522,86.26,6.546792,1.2316201686307506,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
5,10.0,270.0,5.30659704844968,75.0,7.694389006590671,394.01208,51.910191,9.046834,84.5616,6.208654,1.4847130730995377,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
6,1.0,262.0,1.339560814145532,75.0,4.293394828199784,357.695827,51.070277,2.132533,82.1824,4.088793,1.1006359088013642,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
6,2.0,262.0,1.339560814145532,75.0,4.293394828199784,422.96268,52.526041,2.024608,80.484,3.900115,1.290479360288164,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
6,3.0,262.0,1.339560814145532,75.0,4.293394828199784,405.372033,52.157076,1.916682,86.7856,3.711437,1.270738731928304,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
6,4.0,262.0,1.339560814145532,75.0,4.293394828199784,387.781386,51.771739,1.808757,85.0872,3.522759,1.144332183415104,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
6,5.0,262.0,1.339560814145532,75.0,4.293394828199784,370.190738,51.368511,2.209195,83.3888,3.334081,1.3974253855059426,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
6,6.0,262.0,1.339560814145532,75.0,4.293394828199784,352.600091,50.945648,2.101269,81.6904,4.034136,1.0640180274610689,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
6,7.0,262.0,1.339560814145532,75.0,4.293394828199784,417.866944,52.42076,1.993343,87.992,3.845458,1.3605273991012088,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
6,8.0,262.0,1.339560814145532,75.0,4.293394828199784,400.276297,52.047197,1.885418,86.2936,3.65678,1.2341208505880088,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
6,9.0,262.0,1.339560814145532,75.0,4.293394828199784,382.685649,51.656844,2.285856,84.5952,3.468102,1.4872140526788475,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
6,10.0,262.0,1.339560814145532,75.0,4.293394828199784,365.095002,51.248118,2.17793,82.8968,4.168157,1.1538066946339736,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
7,1.0,257.0,13.81924214242392,75.0,4.08254636538055,415.232234,52.365821,20.908383,80.5176,3.71213,1.2929798914919433,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
7,2.0,257.0,13.81924214242392,75.0,4.08254636538055,397.977286,51.997166,19.794997,86.8192,3.532718,1.2732396470327183,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
7,3.0,257.0,13.81924214242392,75.0,4.08254636538055,380.722338,51.612167,18.68161,85.1208,3.353306,1.1468326635439587,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
7,4.0,257.0,13.81924214242392,75.0,4.08254636538055,363.46739,51.209309,22.812626,83.4224,3.173894,1.399925723975851,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
7,5.0,257.0,13.81924214242392,75.0,4.08254636538055,346.212442,50.786853,21.699239,81.724,3.839569,1.0665187644020129,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
7,6.0,257.0,13.81924214242392,75.0,4.08254636538055,410.233744,52.260628,20.585853,80.0256,3.660157,1.2563618532761212,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
7,7.0,257.0,13.81924214242392,75.0,4.08254636538055,392.978796,51.887382,19.472466,86.3272,3.480745,1.2366215364540285,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
7,8.0,257.0,13.81924214242392,75.0,4.08254636538055,375.723848,51.497375,18.359079,84.6288,3.301333,1.1102145529652687,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
7,9.0,257.0,13.81924214242392,75.0,4.08254636538055,358.468901,51.08903,22.490095,82.9304,3.967008,1.1563076412031328,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
7,10.0,257.0,13.81924214242392,75.0,4.08254636538055,422.490203,52.516333,21.376709,81.232,3.787596,1.3461507300772413,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
8,1.0,235.0,7.583471842798415,75.0,6.441319154292284,364.22133,51.227308,10.874825,86.8528,5.579416,1.275740482695907,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
8,2.0,235.0,7.583471842798415,75.0,6.441319154292284,348.443459,50.842646,10.263841,85.1544,5.296345,1.1493335480603295,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
8,3.0,235.0,7.583471842798415,75.0,6.441319154292284,332.665589,50.440158,12.530784,83.456,5.013274,1.4024265432627052,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
8,4.0,235.0,7.583471842798415,75.0,6.441319154292284,316.887718,50.018108,11.9198,81.7576,6.063556,1.069019618708681,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
8,5.0,235.0,7.583471842798415,75.0,6.441319154292284,375.428598,51.490547,11.308816,80.0592,5.780486,1.2588625330807202,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
8,6.0,235.0,7.583471842798415,75.0,6.441319154292284,359.650727,51.117619,10.697832,86.3608,5.497415,1.239122265111809,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
8,7.0,235.0,7.583471842798415,75.0,6.441319154292284,343.872856,50.727958,10.086848,84.6624,5.214344,1.1127153304762316,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
8,8.0,235.0,7.583471842798415,75.0,6.441319154292284,328.094986,50.319992,12.353792,82.964,6.264626,1.158808467625884,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
8,9.0,235.0,7.583471842798415,75.0,6.441319154292284,312.317115,49.891916,11.742808,81.2656,5.981555,1.0324015329903065,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
8,10.0,235.0,7.583471842798415,75.0,6.441319154292284,370.857994,51.384153,11.131824,87.5672,5.698484,1.3289112650213957,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
9,1.0,388.0,24.38307834646571,75.0,5.422788045546904,575.817754,55.205701,33.040112,85.188,4.463577,1.1518342812810831,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
9,2.0,388.0,24.38307834646571,75.0,5.422788045546904,549.767482,54.803581,40.328998,83.4896,4.225267,1.4049272491448448,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
9,3.0,388.0,24.38307834646571,75.0,5.422788045546904,523.717211,54.381937,38.364506,81.7912,5.109473,1.0715204366573852,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
9,4.0,388.0,24.38307834646571,75.0,5.422788045546904,620.371939,55.853043,36.400014,80.0928,4.871163,1.2613634140557817,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
9,5.0,388.0,24.38307834646571,75.0,5.422788045546904,594.321668,55.480431,34.435522,86.3944,4.632853,1.2416230606981649,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
9,6.0,388.0,24.38307834646571,75.0,5.422788045546904,568.271396,55.091116,32.47103,84.696,4.394542,1.115216222503547,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
9,7.0,388.0,24.38307834646571,75.0,5.422788045546904,542.221125,54.683529,39.759916,82.9976,5.278749,1.161309216074467,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
9,8.0,388.0,24.38307834646571,75.0,5.422788045546904,516.170853,54.25587,37.795423,81.2992,5.040439,1.0349021524608146,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
9,9.0,388.0,24.38307834646571,75.0,5.422788045546904,612.825582,55.746738,35.830931,87.6008,4.802128,1.331411983510184,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
9,10.0,388.0,24.38307834646571,75.0,5.422788045546904,586.77531,55.369437,33.866439,85.9024,4.563818,1.20500496090858,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
10,1.0,226.0,14.2806152031666,75.0,1.6115363936642595,320.525574,50.117254,23.64254,83.5232,1.25706,1.4074279181694094,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
10,2.0,226.0,14.2806152031666,75.0,1.6115363936642595,305.351962,49.696014,22.491982,81.8248,1.519827,1.0740211736147238,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
10,3.0,226.0,14.2806152031666,75.0,1.6115363936642595,361.65085,51.16579,21.341423,80.1264,1.449006,1.263864338254563,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
10,4.0,226.0,14.2806152031666,75.0,1.6115363936642595,346.477238,50.793494,20.190865,86.428,1.378186,1.244123619060207,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
10,5.0,226.0,14.2806152031666,75.0,1.6115363936642595,331.303627,50.404524,19.040306,84.7296,1.307365,1.117716788124825,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
10,6.0,226.0,14.2806152031666,75.0,1.6115363936642595,316.130015,49.997315,23.309241,83.0312,1.570132,1.1638100106862812,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
10,7.0,226.0,14.2806152031666,75.0,1.6115363936642595,316.853316,50.017165,20.847166,71.388,1.427106,0.9281123338377678,,"[0.5, 0.0, 0.0, 0.5]",strict,No
10,8.0,226.0,14.2806152031666,75.0,1.6115363936642595,357.255291,51.059573,21.008124,87.6344,1.428491,1.3339124561317643,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
10,9.0,226.0,14.2806152031666,75.0,1.6115363936642595,342.08168,50.682596,19.857566,85.936,1.35767,1.2075056952213763,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
10,10.0,226.0,14.2806152031666,75.0,1.6115363936642595,326.908068,50.288513,24.126501,84.2376,1.286849,1.460598897002352,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
11,1.0,373.0,17.738017429844668,75.0,0.9276110304003818,504.461286,54.056557,27.965666,81.8584,0.875629,1.076521864411086,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
11,2.0,373.0,17.738017429844668,75.0,0.9276110304003818,597.379362,55.525004,26.536552,80.16,0.834864,1.2663650220268603,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
11,3.0,373.0,17.738017429844668,75.0,0.9276110304003818,572.336189,55.153024,25.107438,86.4616,0.794099,1.2466248489902667,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
11,4.0,373.0,17.738017429844668,75.0,0.9276110304003818,547.293016,54.764398,23.678324,84.7632,0.753334,1.1202180092870062,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
11,5.0,373.0,17.738017429844668,75.0,0.9276110304003818,522.249842,54.357566,28.980788,83.0648,0.904585,1.166310631598711,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
11,6.0,373.0,17.738017429844668,75.0,0.9276110304003818,497.206669,53.930739,27.551674,81.3664,0.86382,1.0399037918954503,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
11,7.0,373.0,17.738017429844668,75.0,0.9276110304003818,590.124745,55.418877,26.12256,87.668,0.823055,1.3364136161778917,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
11,8.0,373.0,17.738017429844668,75.0,0.9276110304003818,389.932708,51.819793,24.196386,81.8794,0.877098,0.5556738462206865,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
11,9.0,373.0,17.738017429844668,75.0,0.9276110304003818,540.038399,54.648493,29.99591,84.2712,0.741525,1.463099958497246,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
11,10.0,373.0,17.738017429844668,75.0,0.9276110304003818,514.995225,54.236064,28.566796,82.5728,0.892776,1.129692559083076,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
12,1.0,389.0,4.030707831001814,75.0,0.8823134635531639,623.520904,55.89702,6.036472,80.1936,0.794863,1.2688652893542849,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
12,2.0,389.0,4.030707831001814,75.0,0.8823134635531639,597.403492,55.525355,5.711727,86.4952,0.756088,1.249125977422518,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
12,3.0,389.0,4.030707831001814,75.0,0.8823134635531639,571.286081,55.137073,5.386981,84.7968,0.717314,1.1227186199153538,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
12,4.0,389.0,4.030707831001814,75.0,0.8823134635531639,545.168669,54.730618,6.591889,83.0984,0.861179,1.1688112255281695,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
12,5.0,389.0,4.030707831001814,75.0,0.8823134635531639,519.051258,54.304205,6.267144,81.4,0.822405,1.0424041161163873,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
12,6.0,389.0,4.030707831001814,75.0,0.8823134635531639,615.955097,55.790981,5.942398,87.7016,0.78363,1.3389145586599325,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
12,7.0,389.0,4.030707831001814,75.0,0.8823134635531639,589.837685,55.41465,5.617653,86.0032,0.744856,1.2125074466774566,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
12,8.0,389.0,4.030707831001814,75.0,0.8823134635531639,563.720274,55.021273,6.822561,84.3048,0.706082,1.465600182983793,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
12,9.0,389.0,4.030707831001814,75.0,0.8823134635531639,537.602863,54.609231,6.497816,82.6064,0.849947,1.132192945449184,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
12,10.0,389.0,4.030707831001814,75.0,0.8823134635531639,541.460809,54.671341,5.835384,71.6535,0.776489,0.9149816824989874,,"[0.0, 0.0, 0.5, 0.5]",strict,No
13,1.0,339.0,21.843068734310656,75.0,9.217156101850083,521.066688,54.337866,30.987602,86.5288,7.90655,1.2516261472408592,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
13,2.0,339.0,21.843068734310656,75.0,9.217156101850083,498.30627,53.949927,29.227753,84.8304,7.501492,1.1252191847892832,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
13,3.0,339.0,21.843068734310656,75.0,9.217156101850083,475.545852,53.543848,35.757348,83.132,9.004385,1.1713122295382383,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
13,4.0,339.0,21.843068734310656,75.0,9.217156101850083,452.785435,53.117849,33.997499,81.4336,8.599327,1.044905270036515,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
13,5.0,339.0,21.843068734310656,75.0,9.217156101850083,537.233767,54.603266,32.23765,87.7352,8.194269,1.3414149742516055,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
13,6.0,339.0,21.843068734310656,75.0,9.217156101850083,514.473349,54.227258,30.477801,86.0368,7.789211,1.2150080118000297,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
13,7.0,339.0,21.843068734310656,75.0,9.217156101850083,491.712932,53.834233,37.007396,84.3384,7.384153,1.468101025531422,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
13,8.0,339.0,21.843068734310656,75.0,9.217156101850083,468.952514,53.422577,35.247547,82.64,8.887046,1.1346940970472612,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
13,9.0,339.0,21.843068734310656,75.0,9.217156101850083,553.400847,54.860796,33.487698,80.9416,8.481988,1.324537137545538,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
13,10.0,339.0,21.843068734310656,75.0,9.217156101850083,530.640429,54.496007,31.727849,87.2432,8.07693,1.3047968417606286,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
14,1.0,222.0,12.781088668570693,75.0,9.745702505110163,326.619332,50.280838,17.122479,84.864,7.940129,1.1277199077692226,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
14,2.0,222.0,12.781088668570693,75.0,9.745702505110163,311.714279,49.875134,20.943157,83.1656,9.529204,1.173812901061232,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
14,3.0,222.0,12.781088668570693,75.0,9.745702505110163,296.809227,49.449548,19.913412,81.4672,9.100918,1.047405970233524,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
14,4.0,222.0,12.781088668570693,75.0,9.745702505110163,352.111675,50.933608,18.883667,87.7688,8.672632,1.343915706072482,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
14,5.0,222.0,12.781088668570693,75.0,9.745702505110163,337.206622,50.557922,17.853923,86.0704,8.244347,1.2175087463715366,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
14,6.0,222.0,12.781088668570693,75.0,9.745702505110163,322.30157,50.165248,21.674601,84.372,7.816061,1.4706018038294444,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
14,7.0,222.0,12.781088668570693,75.0,9.745702505110163,307.396518,49.753979,20.644856,82.6736,9.405136,1.1371948133403422,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
14,8.0,222.0,12.781088668570693,75.0,9.745702505110163,362.698966,51.190926,19.615111,80.9752,8.97685,1.3270378825126337,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
14,9.0,222.0,12.781088668570693,75.0,9.745702505110163,347.793913,50.82644,18.585366,87.2768,8.548565,1.307297511237758,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
14,10.0,222.0,12.781088668570693,75.0,9.745702505110163,332.888861,50.445985,17.555622,85.5784,8.120279,1.1808906586506465,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
15,1.0,351.0,21.94527363996483,75.0,1.6382335991431975,493.311765,53.862429,35.994616,83.1992,1.603265,1.1763136031315513,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
15,2.0,351.0,21.94527363996483,75.0,1.6382335991431975,469.745669,53.437256,34.226532,81.5008,1.531271,1.0499066367371102,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
15,3.0,351.0,21.94527363996483,75.0,1.6382335991431975,557.183323,54.919962,32.458449,87.8024,1.459277,1.3464163825772344,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
15,4.0,351.0,21.94527363996483,75.0,1.6382335991431975,533.617227,54.544597,30.690365,86.104,1.387283,1.2200094161827932,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
15,5.0,351.0,21.94527363996483,75.0,1.6382335991431975,510.051131,54.152274,37.250513,84.4056,1.315289,1.4731024795730503,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
15,6.0,351.0,21.94527363996483,75.0,1.6382335991431975,486.485035,53.74139,35.48243,82.7072,1.582409,1.1396957754571415,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
