spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,target_reached
3,3.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,294.251713,49.37438,9.437504,83.78,2.309881,1.1253051512111445,Yes,Yes,Yes,Yes,Yes,Yes
3,4.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,280.420899,48.956208,8.981585,82.0816,2.788645,0.8324322253053468,Yes,Yes,Yes,Yes,Yes,Yes
3,5.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,331.737585,50.415894,8.525666,80.3832,2.659609,0.9945594626564883,Yes,Yes,Yes,Yes,Yes,Yes
3,6.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,317.90677,50.045996,8.069747,86.6848,2.530573,0.988353362453106,Yes,Yes,Yes,Yes,Yes,Yes
3,7.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,304.075956,49.659642,7.613828,84.9864,2.401537,0.8754805998042479,Yes,Yes,Yes,Yes,Yes,Yes
3,8.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,290.245142,49.255299,9.305431,83.288,2.880301,0.9126075354069566,Yes,Yes,Yes,Yes,Yes,Yes
3,9.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,276.414328,48.831211,8.849512,81.5896,2.751265,0.7997347727580983,Yes,Yes,Yes,Yes,Yes,Yes
3,10.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,327.731013,50.310351,8.393593,87.8912,2.622229,1.068528672554716,Yes,Yes,Yes,Yes,Yes,Yes
4,1.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,582.28418,55.3027,8.852311,85.512,5.949393,0.9104111028932401,Yes,Yes,Yes,Yes,Yes,Yes
4,2.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,556.166769,54.904101,10.783292,83.8136,5.634958,1.1275382149688609,Yes,Yes,Yes,Yes,Yes,Yes
4,3.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,530.049358,54.486326,10.262856,82.1152,6.801613,0.8346653733841338,Yes,Yes,Yes,Yes,Yes,Yes
4,4.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,536.928706,54.598332,9.261452,71.9605,6.991933,0.5567123525556247,Yes,Yes,No,Yes,No,No
4,5.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,600.835785,55.575116,9.221984,86.7184,6.172742,0.9905862900749376,Yes,Yes,Yes,Yes,Yes,Yes
4,6.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,401.348999,52.070444,8.636929,81.1672,6.677498,0.3305384697471448,No,Yes,Yes,Yes,No,No
4,7.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,548.600962,54.785131,10.632529,83.3216,7.024962,0.9148405583304454,Yes,Yes,Yes,Yes,Yes,Yes
4,8.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,522.483551,54.361452,10.112094,81.6232,6.710526,0.8019678798422722,Yes,Yes,Yes,Yes,Yes,Yes
4,9.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,619.38739,55.839247,9.591658,87.9248,6.39609,1.0707617334047264,Yes,Yes,Yes,Yes,Yes,Yes
4,10.0,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,516.718775,54.265085,6.999641,82.072,6.789172,0.36652127484341185,Yes,No,Yes,Yes,No,No
5,1.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,386.386976,51.74045,8.866997,83.8472,6.066422,1.1297711702531577,Yes,Yes,Yes,Yes,Yes,Yes
5,2.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,368.25921,51.323072,8.439456,82.1488,7.321023,0.8368982588874393,Yes,Yes,Yes,Yes,Yes,Yes
5,3.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,435.518944,52.780141,8.011915,80.4504,6.982884,0.9990255142875949,Yes,Yes,Yes,Yes,Yes,Yes
5,4.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,417.391178,52.410865,7.584374,86.752,6.644746,0.9928193233415169,Yes,Yes,Yes,Yes,Yes,Yes
5,5.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,399.263411,52.02519,7.156833,85.0536,6.306607,0.8799465755210605,Yes,Yes,Yes,Yes,Yes,Yes
5,6.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,381.135645,51.621591,8.743145,83.3552,7.561208,0.9170735691322495,Yes,Yes,Yes,Yes,Yes,Yes
5,7.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,363.007879,51.198321,8.315604,81.6568,7.223069,0.8042008245324049,Yes,Yes,Yes,Yes,Yes,Yes
5,8.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,430.267612,52.674773,7.888063,87.9584,6.884931,1.0729946303657147,Yes,Yes,Yes,Yes,Yes,Yes
5,9.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,412.139846,52.300892,7.460522,86.26,6.546792,0.9601218857658702,Yes,Yes,Yes,Yes,Yes,Yes
5,10.0,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,394.01208,51.910191,9.046834,84.5616,6.208654,1.1772489331300329,Yes,Yes,Yes,Yes,Yes,Yes
6,1.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,357.695827,51.070277,2.132533,82.1824,4.088793,0.8391310511316215,Yes,Yes,Yes,Yes,Yes,Yes
6,2.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,422.96268,52.526041,2.024608,80.484,3.900115,1.0012585741636215,Yes,Yes,Yes,Yes,Yes,Yes
6,3.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,405.372033,52.157076,1.916682,86.7856,3.711437,0.9950521147202646,Yes,Yes,Yes,Yes,Yes,Yes
6,4.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,387.781386,51.771739,1.808757,85.0872,3.522759,0.8821796377522646,Yes,Yes,Yes,Yes,Yes,Yes
6,5.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,370.190738,51.368511,2.209195,83.3888,3.334081,1.0993069439182115,Yes,Yes,Yes,Yes,Yes,Yes
6,6.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,352.600091,50.945648,2.101269,81.6904,4.034136,0.8064337630096252,Yes,Yes,Yes,Yes,Yes,Yes
6,7.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,417.866944,52.42076,1.993343,87.992,3.845458,1.075227303566269,Yes,Yes,Yes,Yes,Yes,Yes
6,8.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,400.276297,52.047197,1.885418,86.2936,3.65678,0.9623548265982689,Yes,Yes,Yes,Yes,Yes,Yes
6,9.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,382.685649,51.656844,2.285856,84.5952,3.468102,1.1794821327642153,Yes,Yes,Yes,Yes,Yes,Yes
6,10.0,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,365.095002,51.248118,2.17793,82.8968,4.168157,0.8866089518556295,Yes,Yes,Yes,Yes,Yes,Yes
7,1.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,415.232234,52.365821,20.908383,80.5176,3.71213,1.0034913839060378,Yes,Yes,Yes,Yes,Yes,Yes
7,2.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,397.977286,51.997166,19.794997,86.8192,3.532718,0.9972852582893205,Yes,Yes,Yes,Yes,Yes,Yes
7,3.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,380.722338,51.612167,18.68161,85.1208,3.353306,0.8844124030817035,Yes,Yes,Yes,Yes,Yes,Yes
7,4.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,363.46739,51.209309,22.812626,83.4224,3.173894,1.1015395860659578,Yes,Yes,Yes,Yes,Yes,Yes
7,5.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,346.212442,50.786853,21.699239,81.724,3.839569,0.8086667516539241,Yes,Yes,Yes,Yes,Yes,Yes
7,6.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,410.233744,52.260628,20.585853,80.0256,3.660157,0.9707939593705405,Yes,Yes,Yes,Yes,Yes,Yes
7,7.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,392.978796,51.887382,19.472466,86.3272,3.480745,0.96458777082959,Yes,Yes,Yes,Yes,Yes,Yes
7,8.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,375.723848,51.497375,18.359079,84.6288,3.301333,0.851714915621973,Yes,Yes,Yes,Yes,Yes,Yes
7,9.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,358.468901,51.08903,22.490095,82.9304,3.967008,0.8888421227853331,Yes,Yes,Yes,Yes,Yes,Yes
7,10.0,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,422.490203,52.516333,21.376709,81.232,3.787596,1.0509693305019494,Yes,Yes,Yes,Yes,Yes,Yes
8,1.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,364.22133,51.227308,10.874825,86.8528,5.579416,0.9995183327790498,Yes,Yes,Yes,Yes,Yes,Yes
8,2.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,348.443459,50.842646,10.263841,85.1544,5.296345,0.8866455200524606,Yes,Yes,Yes,Yes,Yes,Yes
8,3.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,332.665589,50.440158,12.530784,83.456,5.013274,1.103772646315396,Yes,Yes,Yes,Yes,Yes,Yes
8,4.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,316.887718,50.018108,11.9198,81.7576,6.063556,0.8108998423553748,Yes,Yes,Yes,Yes,Yes,Yes
8,5.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,375.428598,51.490547,11.308816,80.0592,5.780486,0.9730268983310613,Yes,Yes,Yes,Yes,Yes,Yes
8,6.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,359.650727,51.117619,10.697832,86.3608,5.497415,0.9668207522711385,Yes,Yes,Yes,Yes,Yes,Yes
8,7.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,343.872856,50.727958,10.086848,84.6624,5.214344,0.8539479395445494,Yes,Yes,Yes,Yes,Yes,Yes
8,8.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,328.094986,50.319992,12.353792,82.964,6.264626,0.8910751892398993,Yes,Yes,Yes,Yes,Yes,Yes
8,9.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,312.317115,49.891916,11.742808,81.2656,5.981555,0.7782023765133101,Yes,Yes,Yes,Yes,Yes,Yes
8,10.0,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,370.857994,51.384153,11.131824,87.5672,5.698484,1.0469962304533875,Yes,Yes,Yes,Yes,Yes,Yes
9,1.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,575.817754,55.205701,33.040112,85.188,4.463577,0.8888785054618114,Yes,Yes,Yes,Yes,Yes,Yes
9,2.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,549.767482,54.803581,40.328998,83.4896,4.225267,1.106005607952039,Yes,Yes,Yes,Yes,Yes,Yes
9,3.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,523.717211,54.381937,38.364506,81.7912,5.109473,0.8131329014412045,Yes,Yes,Yes,Yes,Yes,Yes
9,4.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,620.371939,55.853043,36.400014,80.0928,4.871163,0.9752600122224189,Yes,Yes,Yes,Yes,Yes,Yes
9,5.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,594.321668,55.480431,34.435522,86.3944,4.632853,0.9690537919114477,Yes,Yes,Yes,Yes,Yes,Yes
9,6.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,568.271396,55.091116,32.47103,84.696,4.394542,0.8561810630465627,Yes,Yes,Yes,Yes,Yes,Yes
9,7.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,542.221125,54.683529,39.759916,82.9976,5.278749,0.893308187890841,Yes,Yes,Yes,Yes,Yes,Yes
9,8.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,516.170853,54.25587,37.795423,81.2992,5.040439,0.780435263009404,Yes,Yes,Yes,Yes,Yes,Yes
9,9.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,612.825582,55.746738,35.830931,87.6008,4.802128,1.0492292030523338,Yes,Yes,Yes,Yes,Yes,Yes
9,10.0,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,586.77531,55.369437,33.866439,85.9024,4.563818,0.9363563138335478,Yes,Yes,Yes,Yes,Yes,Yes
10,1.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,320.525574,50.117254,23.64254,83.5232,1.25706,1.1082385375386168,Yes,Yes,Yes,Yes,Yes,Yes
10,2.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,305.351962,49.696014,22.491982,81.8248,1.519827,0.8153658900997599,Yes,Yes,Yes,Yes,Yes,Yes
10,3.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,361.65085,51.16579,21.341423,80.1264,1.449006,0.9774931636996199,Yes,Yes,Yes,Yes,Yes,Yes
10,4.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,346.477238,50.793494,20.190865,86.428,1.378186,0.9712866252697452,Yes,Yes,Yes,Yes,Yes,Yes
10,5.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,331.303627,50.404524,19.040306,84.7296,1.307365,0.858413902717239,Yes,Yes,Yes,Yes,Yes,Yes
10,6.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,316.130015,49.997315,23.309241,83.0312,1.570132,0.8955412266837229,Yes,Yes,Yes,Yes,Yes,Yes
10,7.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,316.853316,50.017165,20.847166,71.388,1.427106,0.6703376815980592,Yes,Yes,No,Yes,No,No
10,8.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,357.255291,51.059573,21.008124,87.6344,1.428491,1.0514619618537082,Yes,Yes,Yes,Yes,Yes,Yes
10,9.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,342.08168,50.682596,19.857566,85.936,1.35767,0.9385893001925016,Yes,Yes,Yes,Yes,Yes,Yes
10,10.0,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,326.908068,50.288513,24.126501,84.2376,1.286849,1.1557166060890016,Yes,Yes,Yes,Yes,Yes,Yes
11,1.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,504.461286,54.056557,27.965666,81.8584,0.875629,0.8175988386183357,Yes,Yes,Yes,Yes,Yes,Yes
11,2.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,597.379362,55.525004,26.536552,80.16,0.834864,0.9797261061103135,Yes,Yes,Yes,Yes,Yes,Yes
11,3.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,572.336189,55.153024,25.107438,86.4616,0.794099,0.973520042600232,Yes,Yes,Yes,Yes,Yes,Yes
11,4.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,547.293016,54.764398,23.678324,84.7632,0.753334,0.8606473124234839,Yes,Yes,Yes,Yes,Yes,Yes
11,5.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,522.249842,54.357566,28.980788,83.0648,0.904585,0.897774114433662,Yes,Yes,Yes,Yes,Yes,Yes
11,6.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,497.206669,53.930739,27.551674,81.3664,0.86382,0.7849013842569136,Yes,Yes,Yes,Yes,Yes,Yes
11,7.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,590.124745,55.418877,26.12256,87.668,0.823055,1.0536953184155582,Yes,Yes,Yes,Yes,Yes,Yes
11,8.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,389.932708,51.819793,24.196386,81.8794,0.877098,0.3647240401919014,No,Yes,Yes,Yes,No,No
11,9.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,540.038399,54.648493,29.99591,84.2712,0.741525,1.157949876954127,Yes,Yes,Yes,Yes,Yes,Yes
11,10.0,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,514.995225,54.236064,28.566796,82.5728,0.892776,0.8650766600722399,Yes,Yes,Yes,Yes,Yes,Yes
12,1.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,623.520904,55.89702,6.036472,80.1936,0.794863,0.9819586863950305,Yes,Yes,Yes,Yes,Yes,Yes
12,2.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,597.403492,55.525355,5.711727,86.4952,0.756088,0.9757533716717548,Yes,Yes,Yes,Yes,Yes,Yes
12,3.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,571.286081,55.137073,5.386981,84.7968,0.717314,0.8628801912307424,Yes,Yes,Yes,Yes,Yes,Yes
12,4.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,545.168669,54.730618,6.591889,83.0984,0.861179,0.9000069787201475,Yes,Yes,Yes,Yes,Yes,Yes
12,5.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,519.051258,54.304205,6.267144,81.4,0.822405,0.78713401401425,Yes,Yes,Yes,Yes,Yes,Yes
12,6.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,615.955097,55.790981,5.942398,87.7016,0.78363,1.0559284857912457,Yes,Yes,Yes,Yes,Yes,Yes
12,7.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,589.837685,55.41465,5.617653,86.0032,0.744856,0.9430555188499623,Yes,Yes,Yes,Yes,Yes,Yes
12,8.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,563.720274,55.021273,6.822561,84.3048,0.706082,1.1601824199859072,Yes,Yes,Yes,Yes,Yes,Yes
12,9.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,537.602863,54.609231,6.497816,82.6064,0.849947,0.8673093438688558,Yes,Yes,Yes,Yes,Yes,Yes
12,10.0,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,541.460809,54.671341,5.835384,71.6535,0.776489,0.6593814630425978,Yes,Yes,No,Yes,No,No
13,1.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,521.066688,54.337866,30.987602,86.5288,7.90655,0.9779858671659647,Yes,Yes,Yes,Yes,Yes,Yes
13,2.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,498.30627,53.949927,29.227753,84.8304,7.501492,0.8651130302515508,Yes,Yes,Yes,Yes,Yes,Yes
13,3.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,475.545852,53.543848,35.757348,83.132,9.004385,0.9022401995984685,Yes,Yes,Yes,Yes,Yes,Yes
13,4.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,452.785435,53.117849,33.997499,81.4336,8.599327,0.7893673652491433,Yes,Yes,Yes,Yes,Yes,Yes
13,5.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,537.233767,54.603266,32.23765,87.7352,8.194269,1.0581611950013963,Yes,Yes,Yes,Yes,Yes,Yes
13,6.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,514.473349,54.227258,30.477801,86.0368,7.789211,0.9452883580869824,Yes,Yes,Yes,Yes,Yes,Yes
13,7.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,491.712932,53.834233,37.007396,84.3384,7.384153,1.1624155004621062,Yes,Yes,Yes,Yes,Yes,Yes
13,8.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,468.952514,53.422577,35.247547,82.64,8.887046,0.8695426930845751,Yes,Yes,Yes,Yes,Yes,Yes
13,9.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,553.400847,54.860796,33.487698,80.9416,8.481988,1.0316698587352506,Yes,Yes,Yes,Yes,Yes,Yes
13,10.0,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,530.640429,54.496007,31.727849,87.2432,8.07693,1.0254636884875032,Yes,Yes,Yes,Yes,Yes,Yes
14,1.0,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,326.619332,50.280838,17.122479,84.864,7.940129,0.8673460067558456,Yes,Yes,Yes,Yes,Yes,Yes
14,2.0,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,311.714279,49.875134,20.943157,83.1656,9.529204,0.9044731313575931,Yes,Yes,Yes,Yes,Yes,Yes
14,3.0,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,296.809227,49.449548,19.913412,81.4672,9.100918,0.791600321942195,Yes,Yes,Yes,Yes,Yes,Yes
14,4.0,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,352.111675,50.933608,18.883667,87.7688,8.672632,1.0603941791934628,Yes,Yes,Yes,Yes,Yes,Yes
14,5.0,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,337.206622,50.557922,17.853923,86.0704,8.244347,0.9475213446709014,Yes,Yes,Yes,Yes,Yes,Yes
14,6.0,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,322.30157,50.165248,21.674601,84.372,7.816061,1.1646485250690821,Yes,Yes,Yes,Yes,Yes,Yes
14,7.0,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,307.396518,49.753979,20.644856,82.6736,9.405136,0.8717756637742105,Yes,Yes,Yes,Yes,Yes,Yes
14,8.0,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,362.698966,51.190926,19.615111,80.9752,8.97685,1.033902854358812,Yes,Yes,Yes,Yes,Yes,Yes
