spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,target_reached,scalarized_value,preference,scalarization
3,10.0,206.0,5.6588218741857625,75.0,2.9362292209479945,327.731013,50.310351,8.393593,87.8912,2.622229,1.353026,Yes,Yes,Yes,Yes,Yes,Yes,0.197157,"[0.0, 0.0, 0.5, 0.5]",cosine
4,1.0,389.0,6.459595923581313,75.0,7.155027853402381,582.28418,55.3027,8.852311,85.512,5.949393,1.175949,Yes,Yes,Yes,Yes,Yes,Yes,0.496875,"[1.0, 0.0, 0.0, 0.0]",cosine
4,2.0,389.0,6.459595923581313,75.0,7.155027853402381,556.166769,54.904101,10.783292,83.8136,5.634958,1.429042,Yes,Yes,Yes,Yes,Yes,Yes,0.669345,"[0.0, 1.0, 0.0, 0.0]",cosine
4,3.0,389.0,6.459595923581313,75.0,7.155027853402381,530.049358,54.486326,10.262856,82.1152,6.801613,1.095635,Yes,Yes,Yes,Yes,Yes,Yes,0.094869,"[0.0, 0.0, 1.0, 0.0]",cosine
4,4.0,389.0,6.459595923581313,75.0,7.155027853402381,536.928706,54.598332,9.261452,71.9605,6.991933,0.796298,Yes,Yes,No,Yes,No,No,0.022794,"[0.0, 0.0, 0.0, 1.0]",cosine
4,5.0,389.0,6.459595923581313,75.0,7.155027853402381,600.835785,55.575116,9.221984,86.7184,6.172742,1.265737,Yes,Yes,Yes,Yes,Yes,Yes,0.687454,"[0.5, 0.5, 0.0, 0.0]",cosine
4,6.0,389.0,6.459595923581313,75.0,7.155027853402381,401.348999,52.070444,8.636929,81.1672,6.677498,0.517785,Yes,Yes,Yes,Yes,Yes,Yes,0.080592,"[0.5, 0.0, 0.5, 0.0]",cosine
4,7.0,389.0,6.459595923581313,75.0,7.155027853402381,548.600962,54.785131,10.632529,83.3216,7.024962,1.185423,Yes,Yes,Yes,Yes,Yes,Yes,0.302969,"[0.5, 0.0, 0.0, 0.5]",cosine
4,8.0,389.0,6.459595923581313,75.0,7.155027853402381,522.483551,54.361452,10.112094,81.6232,6.710526,1.059017,Yes,Yes,Yes,Yes,Yes,Yes,0.462269,"[0.0, 0.5, 0.5, 0.0]",cosine
4,9.0,389.0,6.459595923581313,75.0,7.155027853402381,619.38739,55.839247,9.591658,87.9248,6.39609,1.355526,Yes,Yes,Yes,Yes,Yes,Yes,0.417858,"[0.0, 0.5, 0.0, 0.5]",cosine
4,10.0,389.0,6.459595923581313,75.0,7.155027853402381,516.718775,54.265085,6.999641,82.072,6.789172,0.557355,Yes,Yes,Yes,Yes,Yes,Yes,0.102832,"[0.0, 0.0, 0.5, 0.5]",cosine
5,1.0,270.0,5.30659704844968,75.0,7.694389006590671,386.386976,51.74045,8.866997,83.8472,6.066422,1.431542,Yes,Yes,Yes,Yes,Yes,Yes,0.431063,"[1.0, 0.0, 0.0, 0.0]",cosine
5,2.0,270.0,5.30659704844968,75.0,7.694389006590671,368.25921,51.323072,8.439456,82.1488,7.321023,1.098135,Yes,Yes,Yes,Yes,Yes,Yes,0.590371,"[0.0, 1.0, 0.0, 0.0]",cosine
5,3.0,270.0,5.30659704844968,75.0,7.694389006590671,435.518944,52.780141,8.011915,80.4504,6.982884,1.287979,Yes,Yes,Yes,Yes,Yes,Yes,0.072672,"[0.0, 0.0, 1.0, 0.0]",cosine
5,4.0,270.0,5.30659704844968,75.0,7.694389006590671,417.391178,52.410865,7.584374,86.752,6.644746,1.268238,Yes,Yes,Yes,Yes,Yes,Yes,0.136417,"[0.0, 0.0, 0.0, 1.0]",cosine
5,5.0,270.0,5.30659704844968,75.0,7.694389006590671,399.263411,52.02519,7.156833,85.0536,6.306607,1.141831,Yes,Yes,Yes,Yes,Yes,Yes,0.585075,"[0.5, 0.5, 0.0, 0.0]",cosine
5,6.0,270.0,5.30659704844968,75.0,7.694389006590671,381.135645,51.621591,8.743145,83.3552,7.561208,1.187924,Yes,Yes,Yes,Yes,Yes,Yes,0.369828,"[0.5, 0.0, 0.5, 0.0]",cosine
5,7.0,270.0,5.30659704844968,75.0,7.694389006590671,363.007879,51.198321,8.315604,81.6568,7.223069,1.061517,Yes,Yes,Yes,Yes,Yes,Yes,0.286894,"[0.5, 0.0, 0.0, 0.5]",cosine
5,8.0,270.0,5.30659704844968,75.0,7.694389006590671,430.267612,52.674773,7.888063,87.9584,6.884931,1.358027,Yes,Yes,Yes,Yes,Yes,Yes,0.466155,"[0.0, 0.5, 0.5, 0.0]",cosine
5,9.0,270.0,5.30659704844968,75.0,7.694389006590671,412.139846,52.300892,7.460522,86.26,6.546792,1.23162,Yes,Yes,Yes,Yes,Yes,Yes,0.392475,"[0.0, 0.5, 0.0, 0.5]",cosine
5,10.0,270.0,5.30659704844968,75.0,7.694389006590671,394.01208,51.910191,9.046834,84.5616,6.208654,1.484713,Yes,Yes,Yes,Yes,Yes,Yes,0.226685,"[0.0, 0.0, 0.5, 0.5]",cosine
6,1.0,262.0,1.339560814145532,75.0,4.293394828199784,357.695827,51.070277,2.132533,82.1824,4.088793,1.100636,Yes,Yes,Yes,Yes,Yes,Yes,0.365251,"[1.0, 0.0, 0.0, 0.0]",cosine
6,2.0,262.0,1.339560814145532,75.0,4.293394828199784,422.96268,52.526041,2.024608,80.484,3.900115,1.290479,Yes,Yes,Yes,Yes,Yes,Yes,0.511397,"[0.0, 1.0, 0.0, 0.0]",cosine
6,3.0,262.0,1.339560814145532,75.0,4.293394828199784,405.372033,52.157076,1.916682,86.7856,3.711437,1.270739,Yes,Yes,Yes,Yes,Yes,Yes,0.157141,"[0.0, 0.0, 1.0, 0.0]",cosine
6,4.0,262.0,1.339560814145532,75.0,4.293394828199784,387.781386,51.771739,1.808757,85.0872,3.522759,1.144332,Yes,Yes,Yes,Yes,Yes,Yes,0.179493,"[0.0, 0.0, 0.0, 1.0]",cosine
6,5.0,262.0,1.339560814145532,75.0,4.293394828199784,370.190738,51.368511,2.209195,83.3888,3.334081,1.397425,Yes,Yes,Yes,Yes,Yes,Yes,0.751043,"[0.5, 0.5, 0.0, 0.0]",cosine
6,6.0,262.0,1.339560814145532,75.0,4.293394828199784,352.600091,50.945648,2.101269,81.6904,4.034136,1.064018,Yes,Yes,Yes,Yes,Yes,Yes,0.307597,"[0.5, 0.0, 0.5, 0.0]",cosine
6,7.0,262.0,1.339560814145532,75.0,4.293394828199784,417.866944,52.42076,1.993343,87.992,3.845458,1.360527,Yes,Yes,Yes,Yes,Yes,Yes,0.49444,"[0.5, 0.0, 0.0, 0.5]",cosine
6,8.0,262.0,1.339560814145532,75.0,4.293394828199784,400.276297,52.047197,1.885418,86.2936,3.65678,1.234121,Yes,Yes,Yes,Yes,Yes,Yes,0.394616,"[0.0, 0.5, 0.5, 0.0]",cosine
6,9.0,262.0,1.339560814145532,75.0,4.293394828199784,382.685649,51.656844,2.285856,84.5952,3.468102,1.487214,Yes,Yes,Yes,Yes,Yes,Yes,0.635439,"[0.0, 0.5, 0.0, 0.5]",cosine
6,10.0,262.0,1.339560814145532,75.0,4.293394828199784,365.095002,51.248118,2.17793,82.8968,4.168157,1.153807,Yes,Yes,Yes,Yes,Yes,Yes,0.095078,"[0.0, 0.0, 0.5, 0.5]",cosine
7,1.0,257.0,13.81924214242392,75.0,4.08254636538055,415.232234,52.365821,20.908383,80.5176,3.71213,1.29298,Yes,Yes,Yes,Yes,Yes,Yes,0.61569,"[1.0, 0.0, 0.0, 0.0]",cosine
7,2.0,257.0,13.81924214242392,75.0,4.08254636538055,397.977286,51.997166,19.794997,86.8192,3.532718,1.27324,Yes,Yes,Yes,Yes,Yes,Yes,0.432423,"[0.0, 1.0, 0.0, 0.0]",cosine
7,3.0,257.0,13.81924214242392,75.0,4.08254636538055,380.722338,51.612167,18.68161,85.1208,3.353306,1.146833,Yes,Yes,Yes,Yes,Yes,Yes,0.134944,"[0.0, 0.0, 1.0, 0.0]",cosine
7,4.0,257.0,13.81924214242392,75.0,4.08254636538055,363.46739,51.209309,22.812626,83.4224,3.173894,1.399926,Yes,Yes,Yes,Yes,Yes,Yes,0.22257,"[0.0, 0.0, 0.0, 1.0]",cosine
7,5.0,257.0,13.81924214242392,75.0,4.08254636538055,346.212442,50.786853,21.699239,81.724,3.839569,1.066519,Yes,Yes,Yes,Yes,Yes,Yes,0.648664,"[0.5, 0.5, 0.0, 0.0]",cosine
7,6.0,257.0,13.81924214242392,75.0,4.08254636538055,410.233744,52.260628,20.585853,80.0256,3.660157,1.256362,Yes,Yes,Yes,Yes,Yes,Yes,0.468987,"[0.5, 0.0, 0.5, 0.0]",cosine
7,7.0,257.0,13.81924214242392,75.0,4.08254636538055,392.978796,51.887382,19.472466,86.3272,3.480745,1.236622,Yes,Yes,Yes,Yes,Yes,Yes,0.478364,"[0.5, 0.0, 0.0, 0.5]",cosine
7,8.0,257.0,13.81924214242392,75.0,4.08254636538055,375.723848,51.497375,18.359079,84.6288,3.301333,1.110215,Yes,Yes,Yes,Yes,Yes,Yes,0.323077,"[0.0, 0.5, 0.5, 0.0]",cosine
7,9.0,257.0,13.81924214242392,75.0,4.08254636538055,358.468901,51.08903,22.490095,82.9304,3.967008,1.156308,Yes,Yes,Yes,Yes,Yes,Yes,0.463684,"[0.0, 0.5, 0.0, 0.5]",cosine
7,10.0,257.0,13.81924214242392,75.0,4.08254636538055,422.490203,52.516333,21.376709,81.232,3.787596,1.346151,Yes,Yes,Yes,Yes,Yes,Yes,0.109842,"[0.0, 0.0, 0.5, 0.5]",cosine
8,1.0,235.0,7.583471842798415,75.0,6.441319154292284,364.22133,51.227308,10.874825,86.8528,5.579416,1.27574,Yes,Yes,Yes,Yes,Yes,Yes,0.549878,"[1.0, 0.0, 0.0, 0.0]",cosine
8,2.0,235.0,7.583471842798415,75.0,6.441319154292284,348.443459,50.842646,10.263841,85.1544,5.296345,1.149334,Yes,Yes,Yes,Yes,Yes,Yes,0.353449,"[0.0, 1.0, 0.0, 0.0]",cosine
8,3.0,235.0,7.583471842798415,75.0,6.441319154292284,332.665589,50.440158,12.530784,83.456,5.013274,1.402427,Yes,Yes,Yes,Yes,Yes,Yes,0.112747,"[0.0, 0.0, 1.0, 0.0]",cosine
8,4.0,235.0,7.583471842798415,75.0,6.441319154292284,316.887718,50.018108,11.9198,81.7576,6.063556,1.06902,Yes,Yes,Yes,Yes,Yes,Yes,0.058647,"[0.0, 0.0, 0.0, 1.0]",cosine
8,5.0,235.0,7.583471842798415,75.0,6.441319154292284,375.428598,51.490547,11.308816,80.0592,5.780486,1.258863,Yes,Yes,Yes,Yes,Yes,Yes,0.769908,"[0.5, 0.5, 0.0, 0.0]",cosine
8,6.0,235.0,7.583471842798415,75.0,6.441319154292284,359.650727,51.117619,10.697832,86.3608,5.497415,1.239122,Yes,Yes,Yes,Yes,Yes,Yes,0.48218,"[0.5, 0.0, 0.5, 0.0]",cosine
8,7.0,235.0,7.583471842798415,75.0,6.441319154292284,343.872856,50.727958,10.086848,84.6624,5.214344,1.112715,Yes,Yes,Yes,Yes,Yes,Yes,0.462288,"[0.5, 0.0, 0.0, 0.5]",cosine
8,8.0,235.0,7.583471842798415,75.0,6.441319154292284,328.094986,50.319992,12.353792,82.964,6.264626,1.158808,Yes,Yes,Yes,Yes,Yes,Yes,0.519885,"[0.0, 0.5, 0.5, 0.0]",cosine
8,9.0,235.0,7.583471842798415,75.0,6.441319154292284,312.317115,49.891916,11.742808,81.2656,5.981555,1.032402,Yes,Yes,Yes,Yes,Yes,Yes,0.438301,"[0.0, 0.5, 0.0, 0.5]",cosine
8,10.0,235.0,7.583471842798415,75.0,6.441319154292284,370.857994,51.384153,11.131824,87.5672,5.698484,1.328911,Yes,Yes,Yes,Yes,Yes,Yes,0.200031,"[0.0, 0.0, 0.5, 0.5]",cosine
9,1.0,388.0,24.38307834646571,75.0,5.422788045546904,575.817754,55.205701,33.040112,85.188,4.463577,1.151834,Yes,Yes,Yes,Yes,Yes,Yes,0.484066,"[1.0, 0.0, 0.0, 0.0]",cosine
9,2.0,388.0,24.38307834646571,75.0,5.422788045546904,549.767482,54.803581,40.328998,83.4896,4.225267,1.404927,Yes,Yes,Yes,Yes,Yes,Yes,0.653975,"[0.0, 1.0, 0.0, 0.0]",cosine
9,3.0,388.0,24.38307834646571,75.0,5.422788045546904,523.717211,54.381937,38.364506,81.7912,5.109473,1.07152,Yes,Yes,Yes,Yes,Yes,Yes,0.090549,"[0.0, 0.0, 1.0, 0.0]",cosine
9,4.0,388.0,24.38307834646571,75.0,5.422788045546904,620.371939,55.853043,36.400014,80.0928,4.871163,1.261363,Yes,Yes,Yes,Yes,Yes,Yes,0.101724,"[0.0, 0.0, 0.0, 1.0]",cosine
9,5.0,388.0,24.38307834646571,75.0,5.422788045546904,594.321668,55.480431,34.435522,86.3944,4.632853,1.241623,Yes,Yes,Yes,Yes,Yes,Yes,0.667529,"[0.5, 0.5, 0.0, 0.0]",cosine
9,6.0,388.0,24.38307834646571,75.0,5.422788045546904,568.271396,55.091116,32.47103,84.696,4.394542,1.115216,Yes,Yes,Yes,Yes,Yes,Yes,0.419949,"[0.5, 0.0, 0.5, 0.0]",cosine
9,7.0,388.0,24.38307834646571,75.0,5.422788045546904,542.221125,54.683529,39.759916,82.9976,5.278749,1.161309,Yes,Yes,Yes,Yes,Yes,Yes,0.299841,"[0.5, 0.0, 0.0, 0.5]",cosine
9,8.0,388.0,24.38307834646571,75.0,5.422788045546904,516.170853,54.25587,37.795423,81.2992,5.040439,1.034902,Yes,Yes,Yes,Yes,Yes,Yes,0.448346,"[0.0, 0.5, 0.5, 0.0]",cosine
9,9.0,388.0,24.38307834646571,75.0,5.422788045546904,612.825582,55.746738,35.830931,87.6008,4.802128,1.331412,Yes,Yes,Yes,Yes,Yes,Yes,0.412918,"[0.0, 0.5, 0.0, 0.5]",cosine
9,10.0,388.0,24.38307834646571,75.0,5.422788045546904,586.77531,55.369437,33.866439,85.9024,4.563818,1.205005,Yes,Yes,Yes,Yes,Yes,Yes,0.214795,"[0.0, 0.0, 0.5, 0.5]",cosine
10,1.0,226.0,14.2806152031666,75.0,1.6115363936642595,320.525574,50.117254,23.64254,83.5232,1.25706,1.407428,Yes,Yes,Yes,Yes,Yes,Yes,0.418255,"[1.0, 0.0, 0.0, 0.0]",cosine
10,2.0,226.0,14.2806152031666,75.0,1.6115363936642595,305.351962,49.696014,22.491982,81.8248,1.519827,1.074021,Yes,Yes,Yes,Yes,Yes,Yes,0.575001,"[0.0, 1.0, 0.0, 0.0]",cosine
10,3.0,226.0,14.2806152031666,75.0,1.6115363936642595,361.65085,51.16579,21.341423,80.1264,1.449006,1.263864,Yes,Yes,Yes,Yes,Yes,Yes,0.068352,"[0.0, 0.0, 1.0, 0.0]",cosine
10,4.0,226.0,14.2806152031666,75.0,1.6115363936642595,346.477238,50.793494,20.190865,86.428,1.378186,1.244124,Yes,Yes,Yes,Yes,Yes,Yes,0.1448,"[0.0, 0.0, 0.0, 1.0]",cosine
10,5.0,226.0,14.2806152031666,75.0,1.6115363936642595,331.303627,50.404524,19.040306,84.7296,1.307365,1.117717,Yes,Yes,Yes,Yes,Yes,Yes,0.56515,"[0.5, 0.5, 0.0, 0.0]",cosine
10,6.0,226.0,14.2806152031666,75.0,1.6115363936642595,316.130015,49.997315,23.309241,83.0312,1.570132,1.16381,Yes,Yes,Yes,Yes,Yes,Yes,0.357717,"[0.5, 0.0, 0.5, 0.0]",cosine
10,7.0,226.0,14.2806152031666,75.0,1.6115363936642595,316.853316,50.017165,20.847166,71.388,1.427106,0.928112,Yes,Yes,No,Yes,No,No,0.365185,"[0.5, 0.0, 0.0, 0.5]",cosine
10,8.0,226.0,14.2806152031666,75.0,1.6115363936642595,357.255291,51.059573,21.008124,87.6344,1.428491,1.333912,Yes,Yes,Yes,Yes,Yes,Yes,0.452232,"[0.0, 0.5, 0.5, 0.0]",cosine
10,9.0,226.0,14.2806152031666,75.0,1.6115363936642595,342.08168,50.682596,19.857566,85.936,1.35767,1.207506,Yes,Yes,Yes,Yes,Yes,Yes,0.387535,"[0.0, 0.5, 0.0, 0.5]",cosine
10,10.0,226.0,14.2806152031666,75.0,1.6115363936642595,326.908068,50.288513,24.126501,84.2376,1.286849,1.460599,Yes,Yes,Yes,Yes,Yes,Yes,0.229559,"[0.0, 0.0, 0.5, 0.5]",cosine
11,1.0,373.0,17.738017429844668,75.0,0.9276110304003818,504.461286,54.056557,27.965666,81.8584,0.875629,1.076522,Yes,Yes,Yes,Yes,Yes,Yes,0.352443,"[1.0, 0.0, 0.0, 0.0]",cosine
11,2.0,373.0,17.738017429844668,75.0,0.9276110304003818,597.379362,55.525004,26.536552,80.16,0.834864,1.266365,Yes,Yes,Yes,Yes,Yes,Yes,0.496027,"[0.0, 1.0, 0.0, 0.0]",cosine
11,3.0,373.0,17.738017429844668,75.0,0.9276110304003818,572.336189,55.153024,25.107438,86.4616,0.794099,1.246625,Yes,Yes,Yes,Yes,Yes,Yes,0.152821,"[0.0, 0.0, 1.0, 0.0]",cosine
11,4.0,373.0,17.738017429844668,75.0,0.9276110304003818,547.293016,54.764398,23.678324,84.7632,0.753334,1.120218,Yes,Yes,Yes,Yes,Yes,Yes,0.187877,"[0.0, 0.0, 0.0, 1.0]",cosine
11,5.0,373.0,17.738017429844668,75.0,0.9276110304003818,522.249842,54.357566,28.980788,83.0648,0.904585,1.166311,Yes,Yes,Yes,Yes,Yes,Yes,0.731118,"[0.5, 0.5, 0.0, 0.0]",cosine
11,6.0,373.0,17.738017429844668,75.0,0.9276110304003818,497.206669,53.930739,27.551674,81.3664,0.86382,1.039904,Yes,Yes,Yes,Yes,Yes,Yes,0.295485,"[0.5, 0.0, 0.5, 0.0]",cosine
11,7.0,373.0,17.738017429844668,75.0,0.9276110304003818,590.124745,55.418877,26.12256,87.668,0.823055,1.336414,Yes,Yes,Yes,Yes,Yes,Yes,0.491311,"[0.5, 0.0, 0.0, 0.5]",cosine
11,8.0,373.0,17.738017429844668,75.0,0.9276110304003818,389.932708,51.819793,24.196386,81.8794,0.877098,0.555674,Yes,Yes,Yes,Yes,Yes,Yes,0.322315,"[0.0, 0.5, 0.5, 0.0]",cosine
11,9.0,373.0,17.738017429844668,75.0,0.9276110304003818,540.038399,54.648493,29.99591,84.2712,0.741525,1.4631,Yes,Yes,Yes,Yes,Yes,Yes,0.630499,"[0.0, 0.5, 0.0, 0.5]",cosine
11,10.0,373.0,17.738017429844668,75.0,0.9276110304003818,514.995225,54.236064,28.566796,82.5728,0.892776,1.129693,Yes,Yes,Yes,Yes,Yes,Yes,0.097951,"[0.0, 0.0, 0.5, 0.5]",cosine
12,1.0,389.0,4.030707831001814,75.0,0.8823134635531639,623.520904,55.89702,6.036472,80.1936,0.794863,1.268865,Yes,Yes,Yes,Yes,Yes,Yes,0.602881,"[1.0, 0.0, 0.0, 0.0]",cosine
12,2.0,389.0,4.030707831001814,75.0,0.8823134635531639,597.403492,55.525355,5.711727,86.4952,0.756088,1.249126,Yes,Yes,Yes,Yes,Yes,Yes,0.417053,"[0.0, 1.0, 0.0, 0.0]",cosine
12,3.0,389.0,4.030707831001814,75.0,0.8823134635531639,571.286081,55.137073,5.386981,84.7968,0.717314,1.122719,Yes,Yes,Yes,Yes,Yes,Yes,0.130624,"[0.0, 0.0, 1.0, 0.0]",cosine
12,4.0,389.0,4.030707831001814,75.0,0.8823134635531639,545.168669,54.730618,6.591889,83.0984,0.861179,1.168811,Yes,Yes,Yes,Yes,Yes,Yes,0.023953,"[0.0, 0.0, 0.0, 1.0]",cosine
12,5.0,389.0,4.030707831001814,75.0,0.8823134635531639,519.051258,54.304205,6.267144,81.4,0.822405,1.042404,Yes,Yes,Yes,Yes,Yes,Yes,0.628739,"[0.5, 0.5, 0.0, 0.0]",cosine
12,6.0,389.0,4.030707831001814,75.0,0.8823134635531639,615.955097,55.790981,5.942398,87.7016,0.78363,1.338915,Yes,Yes,Yes,Yes,Yes,Yes,0.532301,"[0.5, 0.0, 0.5, 0.0]",cosine
12,7.0,389.0,4.030707831001814,75.0,0.8823134635531639,589.837685,55.41465,5.617653,86.0032,0.744856,1.212507,Yes,Yes,Yes,Yes,Yes,Yes,0.475235,"[0.5, 0.0, 0.0, 0.5]",cosine
12,8.0,389.0,4.030707831001814,75.0,0.8823134635531639,563.720274,55.021273,6.822561,84.3048,0.706082,1.4656,Yes,Yes,Yes,Yes,Yes,Yes,0.577501,"[0.0, 0.5, 0.5, 0.0]",cosine
12,9.0,389.0,4.030707831001814,75.0,0.8823134635531639,537.602863,54.609231,6.497816,82.6064,0.849947,1.132193,Yes,Yes,Yes,Yes,Yes,Yes,0.458744,"[0.0, 0.5, 0.0, 0.5]",cosine
